Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script	Language
b_alley_rescue_74b29cb6	j	Sabrina, please...	game/tl/English/chapter/beggar_alley_rescue.rpy	413	"j down ""[what]"""	EN
b_alley_rescue_6b14bc0b	j	You will look stunning, as you always do...	game/tl/English/chapter/beggar_alley_rescue.rpy	419	"j friendly ""[what]"""	EN
b_alley_rescue_0d21e75d	j	And this will be an opportunity for us both to flex our diplomatic muscles before we eventually take the throne!	game/tl/English/chapter/beggar_alley_rescue.rpy	425	"j smile ""[what]"""	EN
b_alley_rescue_19e62d39	j	It's in our best interest to go, trust me.	game/tl/English/chapter/beggar_alley_rescue.rpy	431	"j determinated ""[what]"""	EN
b_alley_rescue_a56de0d8	s	That answers none of my questions! Why must we do this?!	game/tl/English/chapter/beggar_alley_rescue.rpy	437	"s angry ""[what]"""	EN
b_alley_rescue_2cbbc0b7	j	Sabrina...my father is ill. We are traveling in his stead.	game/tl/English/chapter/beggar_alley_rescue.rpy	443	"j sad ""[what]"""	EN
b_alley_rescue_1fa4d480	j	If we do not go...trade might be affected.	game/tl/English/chapter/beggar_alley_rescue.rpy	449	"j sad ""[what]"""	EN
b_alley_rescue_823c50ea	j	It could even lead to war!	game/tl/English/chapter/beggar_alley_rescue.rpy	455	"j afraid ""[what]"""	EN
b_alley_rescue_f74c14d6	j	We must do this. For ourselves, for my father...for the entire kingdom.	game/tl/English/chapter/beggar_alley_rescue.rpy	461	"j determinated ""[what]"""	EN
b_alley_rescue_9192d638	s	No pressure, then.	game/tl/English/chapter/beggar_alley_rescue.rpy	467	"s oh ""[what]"""	EN
b_alley_rescue_0de8c0fb	s	They should have just sent that buffoon Hartmann to this frozen wasteland...better him dead than me!	game/tl/English/chapter/beggar_alley_rescue.rpy	473	"s hopeless ""[what]"""	EN
b_alley_rescue_d0044905	s	...I mean us!!	game/tl/English/chapter/beggar_alley_rescue.rpy	479	"s laugh ""[what]"""	EN
b_alley_rescue_ea78b69b	j	It is a young prince and princess's responsibility to engage with other lands, ...	game/tl/English/chapter/beggar_alley_rescue.rpy	485	"j determinated ""[what]"""	EN
b_alley_rescue_a2aa49fb	j	learn the ways of diplomacy, ...	game/tl/English/chapter/beggar_alley_rescue.rpy	491	"j determinated ""[what]"""	EN
b_alley_rescue_33afef07	j	... and instill confidence in our-	game/tl/English/chapter/beggar_alley_rescue.rpy	497	"j determinated ""[what]"""	EN
b_alley_rescue_7165d794	s	You know what? ...forget I asked.	game/tl/English/chapter/beggar_alley_rescue.rpy	503	"s disgusted ""[what]"""	EN
b_alley_rescue_c9b13bf7	s	I get enough of that kind of talk from my own parents, thank you very much, Prince Jeffrey III.!	game/tl/English/chapter/beggar_alley_rescue.rpy	509	"s pain ""[what]"""	EN
b_alley_rescue_1b9e6c0c	j	Well...the North has its own wealth to share...	game/tl/English/chapter/beggar_alley_rescue.rpy	515	"j desire ""[what]"""	EN
b_alley_rescue_9b48190d	j	Perhaps we could find you some new outfits...or maybe even some jewels?	game/tl/English/chapter/beggar_alley_rescue.rpy	521	"j flirt ""[what]"""	EN
b_alley_rescue_e4ae25bb	s	You're still not answering my questions...	game/tl/English/chapter/beggar_alley_rescue.rpy	527	"s angry ""[what]"""	EN
b_alley_rescue_86f253ae	s	...but I wouldn't mind some gifts from my doting lover.	game/tl/English/chapter/beggar_alley_rescue.rpy	533	"s smile ""[what]"""	EN
b_alley_rescue_f6632a25	j	It might even offer us some time away from one another...	game/tl/English/chapter/beggar_alley_rescue.rpy	539	"j neutral ""[what]"""	EN
b_alley_rescue_a3e5efc5	j	...if the saints be willing.	game/tl/English/chapter/beggar_alley_rescue.rpy	545	"j sad ""[what]"""	EN
b_alley_rescue_0364e22b		Prince Jeffrey sighs, and returns his gaze to the road outside the carriage.	game/tl/English/chapter/beggar_alley_rescue.rpy	551	[what]	EN
b_alley_rescue_c32f28d6	j	Whatever the case may be for us...I would try to relax.	game/tl/English/chapter/beggar_alley_rescue.rpy	557	"j neutral ""[what]"""	EN
b_alley_rescue_a5aa8bd1	j	We're in for a long journey once we leave the limits of the kingdom.	game/tl/English/chapter/beggar_alley_rescue.rpy	563	"j neutral ""[what]"""	EN
b_alley_rescue_4b2b2259		Sabrina, beyond her vanity and irritation, seems to finally notice Jeffrey's sadness as he speaks these words.	game/tl/English/chapter/beggar_alley_rescue.rpy	569	[what]	EN
b_alley_rescue_064b3c77		She moves her hand over to Jeffrey's knee, hoping to comfort him, at least for the moment.	game/tl/English/chapter/beggar_alley_rescue.rpy	575	[what]	EN
b_alley_rescue_3f0b61b4	s	And whatever the case may be...	game/tl/English/chapter/beggar_alley_rescue.rpy	581	"s neutral ""[what]"""	EN
b_alley_rescue_2c94a56c	s	...we'll make the best of it.	game/tl/English/chapter/beggar_alley_rescue.rpy	587	"s smile ""[what]"""	EN
b_alley_rescue_85b1209b		The prince smiles ever so slightly, hoping his concern is not too perceptable to Sabrina.	game/tl/English/chapter/beggar_alley_rescue.rpy	593	[what]	EN
b_alley_rescue_0c00ea2d	s	And what should I do while you practice the art of diplomacy?	game/tl/English/chapter/beggar_alley_rescue.rpy	683	"s angry ""[what]"""	EN
b_alley_rescue_4a338eff	s	I heard they eat there with their bare hands, like barbarians!	game/tl/English/chapter/beggar_alley_rescue.rpy	689	"s disgusted ""[what]"""	EN
b_alley_rescue_01b091d6	j	Lady Sabrina, please!	game/tl/English/chapter/beggar_alley_rescue.rpy	695	"j sad ""[what]"""	EN
b_alley_rescue_eb73976a	s	I'm sure I'll have to wear mangy animal skins!	game/tl/English/chapter/beggar_alley_rescue.rpy	701	"s disgusted ""[what]"""	EN
b_alley_rescue_b5f0ddf4	s	Just not to freeze to death!	game/tl/English/chapter/beggar_alley_rescue.rpy	707	"s tough ""[what]"""	EN
b_alley_rescue_6e5a23bc		Jeffrey stops listening while his fiancee continues to rant about the Barbaric North and looks out the window again.	game/tl/English/chapter/beggar_alley_rescue.rpy	713	[what]	EN
b_alley_rescue_ad13937f	s	Do you think they have gems there too?	game/tl/English/chapter/beggar_alley_rescue.rpy	719	"s happy ""[what]"""	EN
b_alley_rescue_999ed214	s	I heard gems just lie around in the north.	game/tl/English/chapter/beggar_alley_rescue.rpy	725	"s ""[what]"""	EN
b_alley_rescue_4b0a7101	s	Oh, and white snow lions!	game/tl/English/chapter/beggar_alley_rescue.rpy	731	"s oh ""[what]"""	EN
b_alley_rescue_4dd383a3	s	A white snow lion fur would definitely look great on me!	game/tl/English/chapter/beggar_alley_rescue.rpy	737	"s smile ""[what]"""	EN
b_alley_rescue_47aa3483	s	Do you think so too, Jeffrey?	game/tl/English/chapter/beggar_alley_rescue.rpy	743	"s flirt ""[what]"""	EN
b_alley_rescue_80201070		Jeffrey snaps out of his thoughts.	game/tl/English/chapter/beggar_alley_rescue.rpy	749	[what]	EN
b_alley_rescue_b7d416b3	j	Hm? What?	game/tl/English/chapter/beggar_alley_rescue.rpy	755	"j oh ""[what]"""	EN
b_alley_rescue_59d3fa9c	s	You're not even listening to me!	game/tl/English/chapter/beggar_alley_rescue.rpy	761	"s angry ""[what]"""	EN
b_alley_rescue_7b82d6b8		Indeed Jeffrey is thinking of something else entirely at that moment.	game/tl/English/chapter/beggar_alley_rescue.rpy	767	[what]	EN
b_alley_rescue_e8dd3431		Hundreds of things could go wrong in the North...	game/tl/English/chapter/beggar_alley_rescue.rpy	599	[what]	EN
b_alley_rescue_596fdd56		...many of them would be his fault...	game/tl/English/chapter/beggar_alley_rescue.rpy	652	[what]	EN
b_alley_rescue_d8497392		...but at this moment, as long as he was within the kingdom...	game/tl/English/chapter/beggar_alley_rescue.rpy	660	[what]	EN
b_alley_rescue_733e1223		...as long as we were home...	game/tl/English/chapter/beggar_alley_rescue.rpy	668	[what]	EN
b_alley_rescue_5b916ce1		He felt safe.	game/tl/English/chapter/beggar_alley_rescue.rpy	676	[what]	NB
b_alley_rescue_f00a28ec		So Jeffrey closes his eyes and takes a relaxing breath, enjoying the serenity of the kingdom and the carriage, when...	game/tl/English/chapter/beggar_alley_rescue.rpy	629	[what]	EN
b_alley_rescue_f180df8f		CRASH!!!	game/tl/English/chapter/beggar_alley_rescue.rpy	307	[what] with vpunch	ES
b_alley_rescue_c2d469e1		Within moments, the inside of the carriage was thrown into chaos!	game/tl/English/chapter/beggar_alley_rescue.rpy	1753	[what]	EN
b_alley_rescue_d6f29989		As the carriage itself stopped dead in its tracks, the prince and Lady Sabrina were thrown forward.	game/tl/English/chapter/beggar_alley_rescue.rpy	1759	[what]	EN
b_alley_rescue_d515bc16		Jeffrey did his best to hold his arm over Sabrina to ensure her safety, and was suddenly distracted by the sounds coming from outside...	game/tl/English/chapter/beggar_alley_rescue.rpy	1765	[what]	EN
b_alley_rescue_337ab651	j	We need to get out of here!	game/tl/English/chapter/beggar_alley_rescue.rpy	1771	"j fear ""[what]"""	EN
b_alley_rescue_932bee58	s	What? No!	game/tl/English/chapter/beggar_alley_rescue.rpy	1777	"s oh ""[what]"""	EN
b_alley_rescue_f9d08ca8	s	We should stay in here!	game/tl/English/chapter/beggar_alley_rescue.rpy	1783	"s angry ""[what]"""	EN
b_alley_rescue_3f7ab9a2	j	We are sitting ducks in here! Come on!	game/tl/English/chapter/beggar_alley_rescue.rpy	1789	"j angry ""[what]"""	EN
b_alley_rescue_f4dc9c8e		An explosion nearby shook the carriage, and dense smoke filled the cabin.	game/tl/English/chapter/beggar_alley_rescue.rpy	1795	[what]	EN
b_alley_rescue_a782b56e		There was the sound of snapping and splintering wood, almost as if part of the carriage itself was being bashed and destroyed.	game/tl/English/chapter/beggar_alley_rescue.rpy	1801	[what]	EN
b_alley_rescue_e644aa5e		Multiple swords clanged together as if many men fought in brutal combat.	game/tl/English/chapter/beggar_alley_rescue.rpy	1807	[what]	EN
b_alley_rescue_9e4746b3		Male voices could be heard, calling to Jeffrey and Sabrina, as hands tried to open the carriage doors!	game/tl/English/chapter/beggar_alley_rescue.rpy	1813	[what]	EN
b_alley_rescue_827d233e		The horses whined loudly and pulled against the cart, making the whole thing rattle and shake!	game/tl/English/chapter/beggar_alley_rescue.rpy	1819	[what]	EN
b_alley_rescue_1382e2e2	j	What is going on out there?! Guards?!	game/tl/English/chapter/beggar_alley_rescue.rpy	889	"j fear ""[what]"""	EN
b_alley_rescue_bbb97373	s	Are we being attacked?!	game/tl/English/chapter/beggar_alley_rescue.rpy	895	"s fear ""[what]"""	EN
b_alley_rescue_a9b044ee	s	Damned fiends from the North are already trying to kill us!!	game/tl/English/chapter/beggar_alley_rescue.rpy	901	"s angry ""[what]"""	EN
b_alley_rescue_10691e8e	j	Unlikely. We are still in the capital city after all!	game/tl/English/chapter/beggar_alley_rescue.rpy	907	"j suspicious ""[what]"""	EN
b_alley_rescue_4d3a143d	s	Who else then?	game/tl/English/chapter/beggar_alley_rescue.rpy	913	"s fear ""[what]"""	EN
b_alley_rescue_979e20cd	j	I don't know!	game/tl/English/chapter/beggar_alley_rescue.rpy	919	"j angry ""[what]"""	EN
b_alley_rescue_e82a0df3		Another horse rode toward the carriage and stopped alongside it.	game/tl/English/chapter/beggar_alley_rescue.rpy	1825	[what]	EN
b_alley_rescue_9e4da142		A voice called from the horse.	game/tl/English/chapter/beggar_alley_rescue.rpy	1831	[what]	EN
b_alley_rescue_af46fdf3	c	Prince Jeffrey! Are you alright?	game/tl/English/chapter/beggar_alley_rescue.rpy	1837	"c determinated ""[what]"""	EN
b_alley_rescue_28c0ed6c	c	Please, we have to get out of here now!	game/tl/English/chapter/beggar_alley_rescue.rpy	1843	"c ""[what]"""	EN
b_alley_rescue_e7eeb7e9		As Sabrina fearfully waited to follow the prince's lead, Jeffrey himself was puzzled.	game/tl/English/chapter/beggar_alley_rescue.rpy	1849	[what]	EN
b_alley_rescue_eeee2287		This horse was not one that was guiding the cart, and the voice calling out to him sounded too young to be one of his guards.	game/tl/English/chapter/beggar_alley_rescue.rpy	1855	[what]	EN
b_alley_rescue_287e4a0c		The beggar turned valiant knight, here on his horse to save the prince from his attackers, before the fear of the battle got the best of him!	game/tl/English/chapter/beggar_alley_rescue.rpy	1861	[what]	EN
b_alley_rescue_eb7ad285		There was a moment shared between Christopher and the prince, a shared glance that held for longer than either would care to admit.	game/tl/English/chapter/beggar_alley_rescue.rpy	1867	[what]	EN
b_alley_rescue_e7e7add1		Christopher finally knew how beautiful Prince Jeffrey was in real life. His deep empathetic eyes, the fairest and softest of skin. His portraits didn't do him justice.	game/tl/English/chapter/beggar_alley_rescue.rpy	1873	[what]	EN
b_alley_rescue_708b1e30		He also knew that this was the moment he had been waiting for his whole life.	game/tl/English/chapter/beggar_alley_rescue.rpy	1879	[what]	EN
b_alley_rescue_2b0f8bd0		All the hungry days and lonely nights lead to this!	game/tl/English/chapter/beggar_alley_rescue.rpy	1885	[what]	EN
b_alley_rescue_3adfad80		Finally, their locked eyes were broken when Christopher realized - Jeffrey was not alone.	game/tl/English/chapter/beggar_alley_rescue.rpy	1891	[what]	EN
b_alley_rescue_341150f4		A woman pulled herself from the carriage, her eyes somehow filled with both fear and anger, and all at once Christopher's heart sank.	game/tl/English/chapter/beggar_alley_rescue.rpy	1897	[what]	EN
b_alley_rescue_eb57741b		Of course, there was a girl. How could he be so stupid as to believe that the prince would not only be available, but interested in him?	game/tl/English/chapter/beggar_alley_rescue.rpy	1903	[what]	EN
b_alley_rescue_d3a79ebb		Christopher snapped himself out of this spiral of thought and forced himself back into the present.	game/tl/English/chapter/beggar_alley_rescue.rpy	1909	[what]	EN
b_alley_rescue_1d265405		He needed to save these royals now, before something truly terrible happened.	game/tl/English/chapter/beggar_alley_rescue.rpy	1915	[what]	EN
b_alley_rescue_20405007		Christopher reached his hand out toward the prince, desperate for the prince of his dreams to follow him out of this mess.	game/tl/English/chapter/beggar_alley_rescue.rpy	1921	[what]	EN
b_alley_rescue_1638e17b	c	My prince...	game/tl/English/chapter/beggar_alley_rescue.rpy	1927	"c neutral ""[what]"""	EN
b_alley_rescue_e380487e	c	I know you know nothing of me or where I come from, but you need to trust me and come with me.	game/tl/English/chapter/beggar_alley_rescue.rpy	1933	"c neutral ""[what]"""	EN
b_alley_rescue_1e394178	c	I was sent by your Chancellor, and I can get us to safety!	game/tl/English/chapter/beggar_alley_rescue.rpy	1939	"c determinated ""[what]"""	EN
b_alley_rescue_112d2b07		Jeffrey was shocked by the young man's words, trying to process everything he said.	game/tl/English/chapter/beggar_alley_rescue.rpy	1945	[what]	EN
b_alley_rescue_bc2ae456	j	Hartmann? But how...	game/tl/English/chapter/beggar_alley_rescue.rpy	1951	"j suspicious ""[what]"""	EN
b_alley_rescue_49eead48	c	Please, there's no time to explain! Get on!	game/tl/English/chapter/beggar_alley_rescue.rpy	1957	"c determinated ""[what]"""	EN
b_alley_rescue_7dfcb278		Taking the chance, Christopher grabbed Jeffrey's hand and pulled him up onto the horse, eager to get him away from the battle.	game/tl/English/chapter/beggar_alley_rescue.rpy	1963	[what]	EN
b_alley_rescue_824c7b00		Perhaps, once he gets him alone, he can explain all this clearly.	game/tl/English/chapter/beggar_alley_rescue.rpy	1969	[what]	EN
b_alley_rescue_f92ef61a		Before he could start his horse's gallop, Christopher feeled Lady Sabrina desperately climb up onto the horse behind him, grabbing him in fear.	game/tl/English/chapter/beggar_alley_rescue.rpy	1975	[what]	EN
b_alley_rescue_85c1c0aa	s	You can't leave me here, I'm the future queen of this kingdom! I'm coming too!	game/tl/English/chapter/beggar_alley_rescue.rpy	1981	"s terror ""[what]"""	EN
b_alley_rescue_5e3ab782		With no time to think, Christopher urged the horse forward, riding the pair away from the onslaught that surrounded the carriage.	game/tl/English/chapter/beggar_alley_rescue.rpy	1987	[what]	EN
b_alley_rescue_42f665c0		Resigned to the fact that the prince's heart already belonged to another, Christopher offered his hand to Lady Sabrina first...	game/tl/English/chapter/beggar_alley_rescue.rpy	1993	[what]	EN
b_alley_rescue_aebdcb7c		As any chivalrous gentleman would do.	game/tl/English/chapter/beggar_alley_rescue.rpy	1999	[what]	EN
b_alley_rescue_901cefbf	c	My lady, we must flee! There are men trying to kill you and the prince!	game/tl/English/chapter/beggar_alley_rescue.rpy	2005	"c determinated ""[what]"""	EN
b_alley_rescue_8281ed2c	s	And I'm supposed to trust you?	game/tl/English/chapter/beggar_alley_rescue.rpy	2011	"s suspicious ""[what]"""	EN
b_alley_rescue_1e6e5943	s	You could be taking me to my death as well!	game/tl/English/chapter/beggar_alley_rescue.rpy	2017	"s angry ""[what]"""	EN
b_alley_rescue_b9e289f5	s	I won't be going anywhere with you, heathen!	game/tl/English/chapter/beggar_alley_rescue.rpy	2023	"s angry ""[what]"""	EN
b_alley_rescue_7093a3ff		Prince Jeffrey can't help but rolled his eyes at the attitude of Sabrina.	game/tl/English/chapter/beggar_alley_rescue.rpy	2029	[what]	EN
b_alley_rescue_f9ff8b13		He took initiative and grabbed Christopher's outstretched hand and got atop the horse in front of him, offering his own hand to Sabrina.	game/tl/English/chapter/beggar_alley_rescue.rpy	2035	[what]	EN
b_alley_rescue_ba2a6879	j	We have no other choice, Sabrina! Be reasonable and come with us!	game/tl/English/chapter/beggar_alley_rescue.rpy	2041	"j determinated ""[what]"""	EN
b_alley_rescue_e2716a93		The soon-to-be princess begrudgingly mounted the horse behind the two men, mumbling angrily.	game/tl/English/chapter/beggar_alley_rescue.rpy	2047	[what]	EN
b_alley_rescue_2b7ee3a5	s	If you intend to take us prisoner, I'll have you know my father and Jeffrey's father will-WOAH!!	game/tl/English/chapter/beggar_alley_rescue.rpy	2053	"s angry ""[what]"""	EN
b_alley_rescue_3927febc		Christopher got his horse to begin cantering before Sabrina can finish, galloping the three of them down the road away from the chaos.	game/tl/English/chapter/beggar_alley_rescue.rpy	2059	[what]	EN
b_alley_rescue_fa2b58d7		Christopher extended both of his hands toward the couple, positive that Chancellor Hartmann would want them both safe from this madness.	game/tl/English/chapter/beggar_alley_rescue.rpy	2065	[what]	EN
b_alley_rescue_56caad7a	c	Your lives are in danger, and there's no time to explain!	game/tl/English/chapter/beggar_alley_rescue.rpy	2071	"c determinated ""[what]"""	EN
b_alley_rescue_cc433592	c	I just need to get you both to safety!	game/tl/English/chapter/beggar_alley_rescue.rpy	2077	"c ""[what]"""	EN
b_alley_rescue_c21c8c84		Though the prince was on edge about trusting anyone in this circumstance, he saw something genuine in Christopher's eyes.	game/tl/English/chapter/beggar_alley_rescue.rpy	2083	[what]	EN
b_alley_rescue_d050404d		One thing Jeffrey knew for sure, just by looking at his face:	game/tl/English/chapter/beggar_alley_rescue.rpy	2089	[what]	EN
b_alley_rescue_a1ce498e		This man on the horse was keenly interested in keeping him and Sabrina alive.	game/tl/English/chapter/beggar_alley_rescue.rpy	2095	[what]	EN
b_alley_rescue_6c2efb6b		And in the current situation that was all the assurance the prince needed.	game/tl/English/chapter/beggar_alley_rescue.rpy	2101	[what]	EN
b_alley_rescue_05436b47		Jeffrey immediately took hold of Lady Sabrina's hand and got on the horse, pulling her up with him.	game/tl/English/chapter/beggar_alley_rescue.rpy	2107	[what]	EN
b_alley_rescue_3639dd8b	j	Whoever you are...	game/tl/English/chapter/beggar_alley_rescue.rpy	2113	"j suspicious ""[what]"""	EN
b_alley_rescue_c696247e	j	Get us out of here!	game/tl/English/chapter/beggar_alley_rescue.rpy	2119	"j terror ""[what]"""	EN
b_alley_rescue_a3e58a3a	s	What about all my belongings packed into the carriage? I did have time to bring some things of value, you know!	game/tl/English/chapter/beggar_alley_rescue.rpy	2125	"s angry ""[what]"""	EN
b_alley_rescue_a569c79d	c	I think these attackers are more interested in you and the prince than they are in your stuff!	game/tl/English/chapter/beggar_alley_rescue.rpy	2131	"c determinated ""[what]"""	EN
b_alley_rescue_19e937e3	j	He's right, that's not important right now!	game/tl/English/chapter/beggar_alley_rescue.rpy	2137	"j neutral ""[what]"""	EN
b_alley_rescue_9a0bc477	s	It is to me, I- AAAH!!!	game/tl/English/chapter/beggar_alley_rescue.rpy	2143	"s angry ""[what]"""	EN
b_alley_rescue_69d0b66f		With his royal cargo secured, Christopher rode the horse away from the sword-wielding men that still fought near the carriage.	game/tl/English/chapter/beggar_alley_rescue.rpy	2149	[what]	EN
b_alley_rescue_d632f9e3		If he couldn't have his own fairytale today...	game/tl/English/chapter/beggar_alley_rescue.rpy	2155	[what]	EN
b_alley_rescue_e415a2e8		He would at least make sure Jeffrey and Sabrina survive to get theirs.	game/tl/English/chapter/beggar_alley_rescue.rpy	2161	[what]	EN
b_alley_rescue_09c776e5		As Christopher rides towards the edge of town on the way to the safehouse...	game/tl/English/chapter/beggar_alley_rescue.rpy	2167	[what]	EN
b_alley_rescue_cf13c596		... an errant thought enters his mind.	game/tl/English/chapter/beggar_alley_rescue.rpy	2173	[what]	EN
b_alley_rescue_26c05c69		Hartmann never mentioned Lady Sabrina to him, and Jeffrey was the only one he insisted be saved.	game/tl/English/chapter/beggar_alley_rescue.rpy	2179	[what]	EN
b_alley_rescue_7f92ea22		Besides, he needs to kiss the prince so he can remain a knight.	game/tl/English/chapter/beggar_alley_rescue.rpy	2185	[what]	EN
b_alley_rescue_5d975a56		How can he possibly do that with Sabrina in tow?	game/tl/English/chapter/beggar_alley_rescue.rpy	2191	[what]	EN
b_alley_rescue_1f05f697		Perhaps he could solve that problem before it becomes a problem at all?	game/tl/English/chapter/beggar_alley_rescue.rpy	2197	[what]	EN
b_alley_rescue_156fa91c		While homeless, Christopher had spent a lot of time with horses.	game/tl/English/chapter/beggar_alley_rescue.rpy	2203	[what]	EN
b_alley_rescue_b8914649		Cleaning stables, shoeing horses, and even sleeping next to them in barns when there was nowhere else to go.	game/tl/English/chapter/beggar_alley_rescue.rpy	2209	[what]	EN
b_alley_rescue_a9ceb4d7		He knew a lot about horses, and how to ride them.	game/tl/English/chapter/beggar_alley_rescue.rpy	2215	[what]	EN
b_alley_rescue_f29b277d		If he pulled on the reins hard enough, his horse would rear and Sabrina would fall off!	game/tl/English/chapter/beggar_alley_rescue.rpy	2221	[what]	EN
b_alley_rescue_7faa8538		And better yet, it would look like an accident from Jeffrey's perspective, if Christopher timed it just right.	game/tl/English/chapter/beggar_alley_rescue.rpy	2227	[what]	EN
b_alley_rescue_3f43df3c		He would be alone with the prince if he did this.	game/tl/English/chapter/beggar_alley_rescue.rpy	2233	[what]	EN
b_alley_rescue_c60c68ea		But who knows what would happen to Sabrina if she fell off a galloping horse?	game/tl/English/chapter/beggar_alley_rescue.rpy	2239	[what]	EN
b_alley_rescue_19d1221d		Without thinking, Christopher yanks on the reins hard!	game/tl/English/chapter/beggar_alley_rescue.rpy	2245	[what]	EN
b_alley_rescue_16298285		The horse stops dead in its tracks and raises its front legs off the ground, neighing and kicking its forelegs wildly.	game/tl/English/chapter/beggar_alley_rescue.rpy	2251	[what]	EN
b_alley_rescue_bfa6d2dc	s	Woahhh, ahhhhh!!!	game/tl/English/chapter/beggar_alley_rescue.rpy	1375	"s terror ""[what]"""	HU
b_alley_rescue_d68c4c61		Lady Sabrina loses her grip on the prince and tumbles off the horse onto the ground!	game/tl/English/chapter/beggar_alley_rescue.rpy	2257	[what]	EN
b_alley_rescue_aa6eb08f	j	Sabrina, no!	game/tl/English/chapter/beggar_alley_rescue.rpy	2263	"j surprised ""[what]"""	PT
b_alley_rescue_6ec9afa0		As soon as the horse's front legs were back on the ground, Christopher urged the horse to run forward!	game/tl/English/chapter/beggar_alley_rescue.rpy	2269	[what]	EN
b_alley_rescue_4e36a8d1		The horse began to gallop again, and within moments Jeffrey lost sight of his betrothed.	game/tl/English/chapter/beggar_alley_rescue.rpy	2275	[what]	EN
b_alley_rescue_9f4a74cb		Knowing he can't stop and explain, Christopher turned his horse and rode it down a side street.	game/tl/English/chapter/beggar_alley_rescue.rpy	2281	[what]	EN
b_alley_rescue_2698ca99		He had to get the prince away from his attackers. That's his mission!	game/tl/English/chapter/beggar_alley_rescue.rpy	2287	[what]	EN
b_alley_rescue_fb189aa4		Even if Prince Jeffrey is angry, he has to get him to safety.	game/tl/English/chapter/beggar_alley_rescue.rpy	2293	[what]	EN
b_alley_rescue_16125772		He can explain once that's done.	game/tl/English/chapter/beggar_alley_rescue.rpy	2299	[what]	EN
b_alley_rescue_b1bb88c9	j	Stop, we have to go back for her!	game/tl/English/chapter/beggar_alley_rescue.rpy	2305	"j determinated ""[what]"""	EN
b_alley_rescue_aa6ef600	c	If we stop, your attackers might have the chance to accomplish what they came to do!	game/tl/English/chapter/beggar_alley_rescue.rpy	2311	"c determinated ""[what]"""	EN
b_alley_rescue_760eb43e	c	Is that what you want?! I can't leave your father without a son!	game/tl/English/chapter/beggar_alley_rescue.rpy	2317	"c determinated ""[what]"""	EN
b_alley_rescue_7569ffce		The prince silenced himself at the mention of his father, instantly reminded of why he left the castle in the first place.	game/tl/English/chapter/beggar_alley_rescue.rpy	2323	[what]	EN
b_alley_rescue_0046c324		Christopher shook these thoughts from his mind almost immediately.	game/tl/English/chapter/beggar_alley_rescue.rpy	2329	[what]	EN
b_alley_rescue_6b8ea882		He couldn't possibly risk the life of Jeffrey's lover on purpose.	game/tl/English/chapter/beggar_alley_rescue.rpy	2335	[what]	EN
b_alley_rescue_32ba4cd8		Especially after just saving her!	game/tl/English/chapter/beggar_alley_rescue.rpy	2341	[what]	EN
b_alley_rescue_1d856481		He focused on getting away from the castle and the center of the kingdom for now.	game/tl/English/chapter/beggar_alley_rescue.rpy	2347	[what]	EN
